Country,Year,VALUE
Japan,2015,49307.0
Kazakhstan,2015,3785.0
Kenya,2015,436.0
Kyrgyzstan,2015,307.0
Republic of Korea,2015,4608.0
Liechtenstein,2015,14.0
Sri Lanka,2015,1339.0
Lithuania,2015,1138.0
Luxembourg,2015,302.0
Latvia,2015,1483.0
"China, Macao Special Administrative Region",2015,247.0
Morocco,2015,2581.0
Madagascar,2015,20.0
Mexico,2015,94521.0
Malta,2015,229.0
Montenegro,2015,32.0
Mongolia,2015,367.0
Netherlands (Kingdom of the),2015,35915.0
Norway,2015,5365.0
New Zealand,2015,62134.0
Pakistan,2015,27067.0
Panama,2015,1118.0
Peru,2015,16501.0
Philippines,2015,12900.0
Poland,2015,15310.0
Puerto Rico,2015,4129.0
Portugal,2015,12017.0
Paraguay,2015,4004.0
Romania,2015,4659.0
Russian Federation,2015,74265.0
Senegal,2015,2.0
Singapore,2015,302.0
El Salvador,2015,2163.0
Serbia,2015,1690.0
Slovakia,2015,1932.0
Slovenia,2015,775.0
Sweden,2015,26516.0
Thailand,2015,10024.0
Trinidad and Tobago,2015,785.0
United Republic of Tanzania,2015,5805.0
Uruguay,2015,17614.0
United States of America,2015,713100.0
Holy See,2015,0.0
Kosovo under UNSCR 1244,2015,280.0
Albania,2016,298.0
United Arab Emirates,2016,750.0
Armenia,2016,49.0
Antigua and Barbuda,2016,15.0
Australia,2016,56048.0
Austria,2016,9023.0
Azerbaijan,2016,252.0
Belgium,2016,17434.0
Bulgaria,2016,2759.0
Bosnia and Herzegovina,2016,1029.0
Belize,2016,105.0
Bermuda,2016,770.0
Bolivia (Plurinational State of),2016,117.0
Barbados,2016,106.0
Canada,2016,79055.0
Switzerland,2016,6048.0
Chile,2016,29785.0
Colombia,2016,39388.0
Cabo Verde,2016,101.0
Cyprus,2016,989.0
Czechia,2016,9161.0
Germany,2016,59633.0
Dominica,2016,56.0
Denmark,2016,805.0
Dominican Republic,2016,5455.0
Spain,2016,31678.0
Estonia,2016,218.0
Finland,2016,6702.0
France,2016,161512.0
United Kingdom (England and Wales),2016,97156.0
United Kingdom (Northern Ireland),2016,1560.0
United Kingdom (Scotland),2016,5216.0
Greece,2016,26180.0
Guatemala,2016,2708.0
Guyana,2016,54.0
Honduras,2016,98.0
Croatia,2016,890.0
Indonesia,2016,37871.0
Ireland,2016,3405.0
Iceland,2016,57.0
Italy,2016,156942.0
Japan,2016,35959.0
Kenya,2016,425.0
Kyrgyzstan,2016,245.0
Republic of Korea,2016,3501.0
Liechtenstein,2016,31.0
Sri Lanka,2016,1301.0
Lithuania,2016,1263.0
Luxembourg,2016,242.0
Latvia,2016,975.0
"China, Macao Special Administrative Region",2016,185.0
Mexico,2016,115449.0
Malta,2016,256.0
Myanmar,2016,1336.0
Montenegro,2016,38.0
Mongolia,2016,404.0
Netherlands (Kingdom of the),2016,31260.0
Norway,2016,4468.0
New Zealand,2016,59659.0
Pakistan,2016,23813.0
Panama,2016,879.0
Peru,2016,17544.0
Philippines,2016,9334.0
Poland,2016,14340.0
Puerto Rico,2016,3788.0
Portugal,2016,11531.0
Romania,2016,1364.0
Russian Federation,2016,59017.0
Senegal,2016,7.0
Singapore,2016,165.0
Serbia,2016,1507.0
Slovakia,2016,1671.0
Slovenia,2016,815.0
Sweden,2016,25184.0
Thailand,2016,5723.0
Uganda,2016,1461.0
Uruguay,2016,16936.0
United States of America,2016,767300.0
Kosovo under UNSCR 1244,2016,295.0
Albania,2017,329.0
United Arab Emirates,2017,650.0
Armenia,2017,44.0
Antigua and Barbuda,2017,49.0
Australia,2017,52441.0
Austria,2017,5013.0
Azerbaijan,2017,241.0
Belgium,2017,15845.0
Bulgaria,2017,2043.0
Bahamas,2017,462.0
Belize,2017,30.0
Bolivia (Plurinational State of),2017,2987.0
Brazil,2017,262996.0
Barbados,2017,116.0
Botswana,2017,198.0
Canada,2017,85115.0
Switzerland,2017,6636.0
Chile,2017,29597.0
Cabo Verde,2017,88.0
Czechia,2017,8213.0
Germany,2017,54114.0
Dominica,2017,66.0
Denmark,2017,814.0
Dominican Republic,2017,4376.0
Spain,2017,32895.0
Estonia,2017,180.0
Finland,2017,5851.0
United Kingdom (England and Wales),2017,112023.0
United Kingdom (Northern Ireland),2017,1409.0
United Kingdom (Scotland),2017,5024.0
Greece,2017,35638.0
"China, Hong Kong Special Administrative Region",2017,510.0
Croatia,2017,854.0
Indonesia,2017,35226.0
Ireland,2017,3457.0
Iceland,2017,79.0
Italy,2017,145758.0
Kenya,2017,486.0
Kyrgyzstan,2017,154.0
Saint Kitts and Nevis,2017,0.0
Republic of Korea,2017,2733.0
Saint Lucia,2017,209.0
Liechtenstein,2017,2.0
Sri Lanka,2017,1167.0
Lithuania,2017,999.0
Luxembourg,2017,288.0
Latvia,2017,342.0
"China, Macao Special Administrative Region",2017,153.0
Mexico,2017,133356.0
Malta,2017,332.0
Montenegro,2017,31.0
Mongolia,2017,369.0
Netherlands (Kingdom of the),2017,27750.0
Norway,2017,4057.0
New Zealand,2017,57801.0
Oman,2017,118.0
Pakistan,2017,22778.0
Peru,2017,11422.0
Philippines,2017,6476.0
Poland,2017,12449.0
Puerto Rico,2017,3594.0
Portugal,2017,10254.0
State of Palestine,2017,324.0
Romania,2017,2927.0
Russian Federation,2017,51773.0
Singapore,2017,143.0
El Salvador,2017,1043.0
Serbia,2017,1555.0
Suriname,2017,31.0
Slovakia,2017,1524.0
Slovenia,2017,554.0
Sweden,2017,24064.0
Trinidad and Tobago,2017,785.0
Ukraine,2017,8824.0
Uruguay,2017,16287.0
United States of America,2017,772900.0
Saint Vincent and the Grenadines,2017,24.0
Kosovo under UNSCR 1244,2017,233.0
Albania,2018,252.0
United Arab Emirates,2018,553.0
Armenia,2018,48.0
Antigua and Barbuda,2018,24.0
Australia,2018,53384.0
Austria,2018,4257.0
Azerbaijan,2018,211.0
Belgium,2018,14020.0
Bulgaria,2018,1740.0
Bahamas,2018,375.0
Bosnia and Herzegovina,2018,585.0
Belize,2018,32.0
Bolivia (Plurinational State of),2018,3170.0
Brazil,2018,240706.0
Barbados,2018,124.0
Botswana,2018,214.0
Canada,2018,86192.0
Switzerland,2018,7640.0
Chile,2018,24288.0
Colombia,2018,44349.0
Cabo Verde,2018,80.0
Czechia,2018,7027.0
Germany,2018,50440.0
Dominica,2018,34.0
Denmark,2018,776.0
Dominican Republic,2018,4086.0
Spain,2018,30182.0
Estonia,2018,134.0
Finland,2018,5726.0
United Kingdom (England and Wales),2018,120114.0
United Kingdom (Northern Ireland),2018,1452.0
United Kingdom (Scotland),2018,4950.0
Greece,2018,24483.0
Guyana,2018,41.0
"China, Hong Kong Special Administrative Region",2018,428.0
Honduras,2018,302.0
Croatia,2018,923.0
Indonesia,2018,27731.0
Ireland,2018,3728.0
Iceland,2018,78.0
Italy,2018,141132.0
Kenya,2018,457.0
Kyrgyzstan,2018,209.0
Saint Kitts and Nevis,2018,2.0
Republic of Korea,2018,2707.0
Saint Lucia,2018,223.0
Liechtenstein,2018,5.0
Sri Lanka,2018,577.0
Lithuania,2018,787.0
Luxembourg,2018,293.0
Latvia,2018,335.0
"China, Macao Special Administrative Region",2018,110.0
Morocco,2018,1280.0
Mexico,2018,139623.0
Malta,2018,317.0
Myanmar,2018,2068.0
Montenegro,2018,31.0
Mongolia,2018,431.0
Netherlands (Kingdom of the),2018,27175.0
Norway,2018,4062.0
New Zealand,2018,55425.0
Oman,2018,89.0
Pakistan,2018,29126.0
Peru,2018,17506.0
Philippines,2018,4924.0
Poland,2018,10971.0
Puerto Rico,2018,3699.0
Portugal,2018,9864.0
State of Palestine,2018,198.0
Romania,2018,2088.0
Russian Federation,2018,43172.0
Singapore,2018,114.0
El Salvador,2018,1468.0
Serbia,2018,1275.0
Suriname,2018,18.0
Slovakia,2018,1339.0
Slovenia,2018,542.0
Sweden,2018,21803.0
Syrian Arab Republic,2018,532.0
Trinidad and Tobago,2018,575.0
Ukraine,2018,6500.0
Uruguay,2018,19288.0
United States of America,2018,748800.0
Saint Vincent and the Grenadines,2018,29.0
Kosovo under UNSCR 1244,2018,214.0
Albania,2019,318.0
Antigua and Barbuda,2019,41.0
Australia,2019,57987.0
Austria,2019,3917.0
Azerbaijan,2019,187.0
Belgium,2019,12690.0
Bulgaria,2019,1631.0
Bahamas,2019,283.0
Bosnia and Herzegovina,2019,499.0
Belize,2019,29.0
Bolivia (Plurinational State of),2019,3520.0
Brazil,2019,219324.0
Barbados,2019,79.0
Botswana,2019,185.0
Canada,2019,87045.0
Switzerland,2019,8886.0
Chile,2019,23177.0
Colombia,2019,44349.0
Czechia,2019,6669.0
Germany,2019,48557.0
Dominica,2019,38.0
Denmark,2019,794.0
Dominican Republic,2019,3138.0
Spain,2019,28921.0
Estonia,2019,163.0
Finland,2019,5598.0
United Kingdom (England and Wales),2019,118913.0
United Kingdom (Northern Ireland),2019,3470.0
United Kingdom (Scotland),2019,5002.0
Greece,2019,21710.0
Guyana,2019,11.0
"China, Hong Kong Special Administrative Region",2019,662.0
Croatia,2019,1827.0
Ireland,2019,3585.0
Iceland,2019,25.0
Israel,2019,25545.0
Italy,2019,131148.0
Jordan,2019,709.0
Japan,2019,18398.0
Kenya,2019,414.0
Kyrgyzstan,2019,325.0
Saint Kitts and Nevis,2019,8.0
Republic of Korea,2019,2652.0
Saint Lucia,2019,172.0
Liechtenstein,2019,4.0
Lithuania,2019,666.0
Luxembourg,2019,1612.0
Latvia,2019,452.0
"China, Macao Special Administrative Region",2019,89.0
Republic of Moldova,2019,436.0
Mexico,2019,113469.0
Malta,2019,1961.0
Montenegro,2019,28.0
Mongolia,2019,267.0
Netherlands (Kingdom of the),2019,28650.0
Norway,2019,3861.0
New Zealand,2019,60568.0
Pakistan,2019,36799.0
Panama,2019,1073.0
Peru,2019,27528.0
Poland,2019,10881.0
Puerto Rico,2019,3669.0
Portugal,2019,9376.0
State of Palestine,2019,316.0
Romania,2019,5952.0
Russian Federation,2019,39179.0
Singapore,2019,85.0
El Salvador,2019,1103.0
Serbia,2019,942.0
Suriname,2019,55.0
Slovakia,2019,1042.0
Slovenia,2019,462.0
Sweden,2019,20051.0
Thailand,2019,1341.0
Trinidad and Tobago,2019,678.0
Ukraine,2019,5374.0
Uruguay,2019,18672.0
United States of America,2019,721900.0
Saint Vincent and the Grenadines,2019,13.0
Kosovo under UNSCR 1244,2019,146.0
Albania,2020,199.0
Antigua and Barbuda,2020,8.0
Australia,2020,48056.0
Austria,2020,3107.0
Azerbaijan,2020,190.0
Belgium,2020,9129.0
Bulgaria,2020,1754.0
Bahamas,2020,229.0
Bosnia and Herzegovina,2020,300.0
Belize,2020,21.0
Bolivia (Plurinational State of),2020,2762.0
Brazil,2020,172953.0
Barbados,2020,62.0
Botswana,2020,129.0
Canada,2020,78198.0
Switzerland,2020,9820.0
Chile,2020,26708.0
Colombia,2020,35508.0
Czechia,2020,6087.0
Germany,2020,42906.0
Dominica,2020,40.0
Denmark,2020,886.0
Dominican Republic,2020,2692.0
Spain,2020,19946.0
Estonia,2020,108.0
Finland,2020,6466.0
United Kingdom (England and Wales),2020,93669.0
United Kingdom (Northern Ireland),2020,2630.0
United Kingdom (Scotland),2020,4311.0
Greece,2020,15400.0
Grenada,2020,0.0
Guyana,2020,57.0
"China, Hong Kong Special Administrative Region",2020,871.0
Honduras,2020,376.0
Croatia,2020,1509.0
Ireland,2020,2584.0
Iceland,2020,29.0
Israel,2020,22728.0
Italy,2020,101042.0
Jordan,2020,572.0
Japan,2020,14228.0
Kenya,2020,331.0
Kyrgyzstan,2020,417.0
Saint Kitts and Nevis,2020,13.0
Republic of Korea,2020,2771.0
Saint Lucia,2020,122.0
Liechtenstein,2020,6.0
Lithuania,2020,568.0
Luxembourg,2020,1763.0
Latvia,2020,771.0
"China, Macao Special Administrative Region",2020,64.0
Morocco,2020,800.0
Republic of Moldova,2020,376.0
Mexico,2020,83473.0
Malta,2020,1458.0
Myanmar,2020,1629.0
Montenegro,2020,33.0
Mongolia,2020,230.0
Netherlands (Kingdom of the),2020,27620.0
Norway,2020,4061.0
New Zealand,2020,48285.0
Oman,2020,91.0
Pakistan,2020,46031.0
Panama,2020,695.0
Peru,2020,20505.0
Poland,2020,11089.0
Puerto Rico,2020,1979.0
Portugal,2020,8684.0
State of Palestine,2020,840.0
Romania,2020,5851.0
Russian Federation,2020,32075.0
Singapore,2020,60.0
El Salvador,2020,670.0
Serbia,2020,711.0
Suriname,2020,54.0
Slovakia,2020,982.0
Slovenia,2020,532.0
Sweden,2020,21372.0
Thailand,2020,1089.0
Trinidad and Tobago,2020,548.0
Türkiye,2020,32529.0
Ukraine,2020,4459.0
Uruguay,2020,15764.0
Saint Vincent and the Grenadines,2020,14.0
Kosovo under UNSCR 1244,2020,116.0
Albania,2021,207.0
Antigua and Barbuda,2021,12.0
Australia,2021,49735.0
Austria,2021,2795.0
Belgium,2021,9434.0
Bulgaria,2021,1344.0
Bahamas,2021,690.0
Bosnia and Herzegovina,2021,319.0
Belize,2021,20.0
Barbados,2021,50.0
Canada,2021,83416.0
Switzerland,2021,12760.0
Chile,2021,66156.0
Colombia,2021,45774.0
Czechia,2021,3146.0
Germany,2021,39172.0
Dominica,2021,25.0
Denmark,2021,929.0
Dominican Republic,2021,2469.0
Spain,2021,20292.0
Estonia,2021,115.0
Finland,2021,5590.0
United Kingdom (England and Wales),2021,113194.0
United Kingdom (Northern Ireland),2021,2509.0
United Kingdom (Scotland),2021,4512.0
Greece,2021,14896.0
Grenada,2021,0.0
Guatemala,2021,728.0
Guyana,2021,12.0
"China, Hong Kong Special Administrative Region",2021,530.0
Honduras,2021,323.0
Croatia,2021,1671.0
Ireland,2021,2777.0
Iceland,2021,13.0
Israel,2021,28746.0
Italy,2021,110171.0
Jordan,2021,407.0
Japan,2021,12751.0
Kenya,2021,243.0
Saint Kitts and Nevis,2021,15.0
Republic of Korea,2021,2404.0
Saint Lucia,2021,211.0
Liechtenstein,2021,6.0
Lithuania,2021,333.0
Luxembourg,2021,1808.0
Latvia,2021,427.0
"China, Macao Special Administrative Region",2021,53.0
Mexico,2021,92381.0
Malta,2021,254.0
Montenegro,2021,36.0
Netherlands (Kingdom of the),2021,22475.0
Norway,2021,3146.0
Pakistan,2021,82926.0
Panama,2021,786.0
Peru,2021,26359.0
Poland,2021,10540.0
Puerto Rico,2021,2303.0
Portugal,2021,7485.0
State of Palestine,2021,334.0
Romania,2021,5659.0
Singapore,2021,85.0
El Salvador,2021,943.0
Serbia,2021,612.0
Slovakia,2021,938.0
Slovenia,2021,332.0
Sweden,2021,18599.0
Thailand,2021,1490.0
Uruguay,2021,13765.0
United States of America,2021,907601.0
Holy See,2021,0.0
Saint Vincent and the Grenadines,2021,13.0
Albania,2022,119.0
United Arab Emirates,2022,505.0
Antigua and Barbuda,2022,3.0
Australia,2022,55037.0
Austria,2022,3124.0
Belgium,2022,10708.0
Bulgaria,2022,1504.0
Bahamas,2022,410.0
Bosnia and Herzegovina,2022,207.0
Belize,2022,27.0
Barbados,2022,42.0
Canada,2022,105673.0
Switzerland,2022,18958.0
Chile,2022,97595.0
Colombia,2022,52117.0
Czechia,2022,3468.0
Germany,2022,49210.0
Dominica,2022,41.0
Denmark,2022,1195.0
Dominican Republic,2022,2572.0
Spain,2022,24043.0
Estonia,2022,91.0
Finland,2022,5503.0
United Kingdom (Northern Ireland),2022,2636.0
United Kingdom (Scotland),2022,5182.0
Greece,2022,18390.0
Grenada,2022,0.0
Guatemala,2022,667.0
Guyana,2022,23.0
"China, Hong Kong Special Administrative Region",2022,761.0
Honduras,2022,239.0
Croatia,2022,1703.0
Ireland,2022,4109.0
Iceland,2022,22.0
Israel,2022,34532.0
Italy,2022,125764.0
Jordan,2022,422.0
Japan,2022,13647.0
Kenya,2022,240.0
Saint Kitts and Nevis,2022,19.0
Republic of Korea,2022,2435.0
Saint Lucia,2022,305.0
Liechtenstein,2022,14.0
Lithuania,2022,403.0
Luxembourg,2022,2400.0
Latvia,2022,507.0
"China, Macao Special Administrative Region",2022,57.0
Morocco,2022,2217.0
Mexico,2022,90688.0
Malta,2022,310.0
Myanmar,2022,1010.0
Montenegro,2022,33.0
Netherlands (Kingdom of the),2022,26825.0
Norway,2022,4018.0
Oman,2022,115.0
Pakistan,2022,106475.0
Panama,2022,902.0
Peru,2022,29730.0
Poland,2022,9123.0
Puerto Rico,2022,2449.0
Portugal,2022,8096.0
State of Palestine,2022,261.0
Romania,2022,5239.0
Singapore,2022,101.0
El Salvador,2022,808.0
Serbia,2022,579.0
Suriname,2022,26.0
Slovakia,2022,780.0
Slovenia,2022,302.0
Sweden,2022,16971.0
Thailand,2022,1461.0
Uruguay,2022,14742.0
United States of America,2022,985323.0
Holy See,2022,0.0
Saint Vincent and the Grenadines,2022,18.0
Armenia,2013,926.0
Australia,2013,10100.0
Austria,2013,34721.0
Bermuda,2013,150.0
Canada,2013,91379.0
Switzerland,2013,9682.0
Chile,2013,40591.0
Colombia,2013,345780.0
Cyprus,2013,207.0
Czechia,2013,10938.0
Germany,2013,937891.0
Denmark,2013,13739.0
Finland,2013,31772.0
United Kingdom (Scotland),2013,8088.0
Greece,2013,2860.0
Guatemala,2013,26.0
Hungary,2013,36837.0
Ireland,2013,4824.0
Italy,2013,140614.0
Sri Lanka,2013,9049.0
Lithuania,2013,4959.0
"China, Macao Special Administrative Region",2013,843.0
Mexico,2013,68550.0
Myanmar,2013,1973.0
Netherlands (Kingdom of the),2013,27034.0
Norway,2013,14498.0
Poland,2013,103579.0
Portugal,2013,12932.0
Russian Federation,2013,151245.0
Singapore,2013,3695.0
Serbia,2013,2576.0
Slovakia,2013,5357.0
Slovenia,2013,8213.0
Sweden,2013,135123.0
Türkiye,2013,85498.0
United States of America,2013,143500.0
Kosovo under UNSCR 1244,2013,665.0
Armenia,2014,1008.0
Australia,2014,11921.0
Austria,2014,29661.0
Bermuda,2014,137.0
Canada,2014,94089.0
Switzerland,2014,9973.0
Chile,2014,45170.0
Colombia,2014,347518.0
Cyprus,2014,149.0
Czechia,2014,10753.0
Germany,2014,968866.0
Denmark,2014,18239.0
Finland,2014,32766.0
United Kingdom (Scotland),2014,6913.0
Greece,2014,2877.0
Guatemala,2014,27.0
Hungary,2014,33011.0
Ireland,2014,5178.0
Italy,2014,133261.0
Sri Lanka,2014,7558.0
Lithuania,2014,5090.0
"China, Macao Special Administrative Region",2014,1154.0
Monaco,2014,493.0
Mexico,2014,63246.0
Myanmar,2014,2119.0
Netherlands (Kingdom of the),2014,24803.0
Norway,2014,14265.0
Poland,2014,114340.0
Portugal,2014,13222.0
Russian Federation,2014,150657.0
Singapore,2014,5465.0
Serbia,2014,2358.0
Slovakia,2014,4953.0
Slovenia,2014,6683.0
Sweden,2014,144204.0
Türkiye,2014,85695.0
United States of America,2014,141300.0
Kosovo under UNSCR 1244,2014,654.0
Albania,2015,736.0
Armenia,2015,949.0
Antigua and Barbuda,2015,5.0
Australia,2015,12447.0
Austria,2015,29097.0
Belgium,2015,53488.0
Bermuda,2015,154.0
Bolivia (Plurinational State of),2015,5.0
Canada,2015,108860.0
Switzerland,2015,12344.0
Chile,2015,61486.0
Colombia,2015,359655.0
Cyprus,2015,211.0
Czechia,2015,10645.0
Germany,2015,966326.0
Dominica,2015,101.0
Denmark,2015,31379.0
Ecuador,2015,24459.0
Estonia,2015,1557.0
Finland,2015,38898.0
United Kingdom (England and Wales),2015,619152.0
United Kingdom (Scotland),2015,7400.0
Greece,2015,3168.0
Guatemala,2015,141.0
Hungary,2015,31571.0
Indonesia,2015,21646.0
Ireland,2015,5579.0
Italy,2015,174984.0
Japan,2015,39432.0
Kyrgyzstan,2015,3322.0
Lebanon,2015,193.0
Liechtenstein,2015,145.0
Sri Lanka,2015,5532.0
Lithuania,2015,4146.0
Luxembourg,2015,1268.0
"China, Macao Special Administrative Region",2015,1108.0
Monaco,2015,578.0
Mexico,2015,58296.0
Malta,2015,470.0
Myanmar,2015,2309.0
Mongolia,2015,2067.0
Netherlands (Kingdom of the),2015,48870.0
Norway,2015,17522.0
New Zealand,2015,2706.0
Poland,2015,126311.0
Portugal,2015,18089.0
Russian Federation,2015,193332.0
Singapore,2015,8242.0
Serbia,2015,2451.0
Slovakia,2015,2700.0
Slovenia,2015,5053.0
Sweden,2015,189007.0
Uruguay,2015,42.0
United States of America,2015,133100.0
Kosovo under UNSCR 1244,2015,560.0
Albania,2016,913.0
United Arab Emirates,2016,4079.0
Armenia,2016,1012.0
Antigua and Barbuda,2016,4.0
Australia,2016,11163.0
Austria,2016,32543.0
Azerbaijan,2016,4373.0
Belgium,2016,55597.0
Bulgaria,2016,3605.0
Bosnia and Herzegovina,2016,222.0
Bermuda,2016,87.0
Bolivia (Plurinational State of),2016,11.0
Barbados,2016,125.0
Canada,2016,126799.0
Switzerland,2016,16424.0
Chile,2016,83084.0
Colombia,2016,390078.0
Cyprus,2016,232.0
Czechia,2016,9836.0
Germany,2016,899043.0
Dominica,2016,44.0
Denmark,2016,39282.0
Ecuador,2016,24338.0
Spain,2016,183005.0
Estonia,2016,1685.0
Finland,2016,44788.0
France,2016,197720.0
United Kingdom (England and Wales),2016,652362.0
United Kingdom (Scotland),2016,7811.0
Greece,2016,3790.0
Grenada,2016,66.0
Guatemala,2016,237.0
Guyana,2016,0.0
Croatia,2016,3806.0
Hungary,2016,45000.0
Indonesia,2016,27421.0
Ireland,2016,4902.0
Italy,2016,182103.0
Japan,2016,40990.0
Kyrgyzstan,2016,4095.0
Liechtenstein,2016,175.0
Sri Lanka,2016,5472.0
Lithuania,2016,2870.0
Luxembourg,2016,989.0
Latvia,2016,1786.0
"China, Macao Special Administrative Region",2016,743.0
Monaco,2016,578.0
Mexico,2016,59317.0
Malta,2016,500.0
Myanmar,2016,2817.0
Montenegro,2016,49.0
Mongolia,2016,2165.0
Netherlands (Kingdom of the),2016,62999.0
Norway,2016,21361.0
New Zealand,2016,3015.0
Poland,2016,108647.0
Puerto Rico,2016,360.0
Portugal,2016,19482.0
Russian Federation,2016,201806.0
Senegal,2016,12.0
Singapore,2016,8268.0
Serbia,2016,2245.0
Slovakia,2016,2312.0
Slovenia,2016,4383.0
Sweden,2016,217460.0
Uruguay,2016,57.0
United States of America,2016,128500.0
Kosovo under UNSCR 1244,2016,538.0
Albania,2017,1018.0
Armenia,2017,1150.0
Antigua and Barbuda,2017,19.0
Australia,2017,11112.0
Austria,2017,35050.0
Azerbaijan,2017,3856.0
Belgium,2017,57995.0
Bulgaria,2017,3370.0
Bahamas,2017,231.0
Bolivia (Plurinational State of),2017,1.0
Barbados,2017,117.0
Botswana,2017,116.0
Canada,2017,130805.0
Switzerland,2017,14227.0
Chile,2017,35205.0
Costa Rica,2017,9935.0
Cyprus,2017,246.0
Czechia,2017,8752.0
Germany,2017,910352.0
Dominica,2017,46.0
Denmark,2017,43938.0
Ecuador,2017,22886.0
Spain,2017,214595.0
Estonia,2017,1561.0
Finland,2017,35320.0
France,2017,173909.0
United Kingdom (England and Wales),2017,638358.0
United Kingdom (Scotland),2017,8628.0
Greece,2017,3253.0
Guatemala,2017,261.0
Croatia,2017,2639.0
Hungary,2017,25389.0
Indonesia,2017,19671.0
Ireland,2017,3944.0
Iceland,2017,463.0
Italy,2017,194068.0
Kyrgyzstan,2017,6471.0
Saint Kitts and Nevis,2017,18.0
Liechtenstein,2017,130.0
Sri Lanka,2017,6192.0
Lithuania,2017,2999.0
Luxembourg,2017,588.0
Latvia,2017,1503.0
"China, Macao Special Administrative Region",2017,910.0
Mexico,2017,61536.0
Malta,2017,787.0
Mongolia,2017,2996.0
Norway,2017,19875.0
New Zealand,2017,3214.0
Oman,2017,528.0
Peru,2017,8648.0
Poland,2017,129038.0
Puerto Rico,2017,353.0
Portugal,2017,22933.0
State of Palestine,2017,565.0
Romania,2017,10201.0
Russian Federation,2017,215319.0
Singapore,2017,8364.0
El Salvador,2017,2625.0
Serbia,2017,2044.0
Slovakia,2017,2863.0
Slovenia,2017,4002.0
Sweden,2017,253565.0
Trinidad and Tobago,2017,568.0
Ukraine,2017,36108.0
Uruguay,2017,3764.0
United States of America,2017,124200.0
Saint Vincent and the Grenadines,2017,24.0
Kosovo under UNSCR 1244,2017,535.0
Albania,2018,941.0
Armenia,2018,1506.0
Antigua and Barbuda,2018,11.0
Australia,2018,12146.0
Austria,2018,37859.0
Azerbaijan,2018,2782.0
Belgium,2018,66051.0
Bulgaria,2018,2850.0
Bahamas,2018,280.0
Bosnia and Herzegovina,2018,273.0
Bolivia (Plurinational State of),2018,2.0
Barbados,2018,150.0
Botswana,2018,154.0
Canada,2018,149671.0
Switzerland,2018,17520.0
Chile,2018,44773.0
Colombia,2018,72826.0
Costa Rica,2018,11838.0
Cyprus,2018,227.0
Czechia,2018,8449.0
Germany,2018,840783.0
Dominica,2018,56.0
Denmark,2018,43348.0
Dominican Republic,2018,231.0
Ecuador,2018,23823.0
Spain,2018,289182.0
Estonia,2018,1453.0
Finland,2018,35699.0
France,2018,180411.0
United Kingdom (England and Wales),2018,693418.0
United Kingdom (Scotland),2018,9675.0
Greece,2018,3184.0
Guatemala,2018,135.0
Guyana,2018,140.0
Croatia,2018,3088.0
Hungary,2018,21075.0
Indonesia,2018,25543.0
Ireland,2018,4552.0
Iceland,2018,537.0
Italy,2018,218865.0
Kyrgyzstan,2018,10456.0
Saint Kitts and Nevis,2018,1.0
Saint Lucia,2018,56.0
Liechtenstein,2018,157.0
Sri Lanka,2018,6090.0
Lithuania,2018,2783.0
Luxembourg,2018,646.0
Latvia,2018,1758.0
"China, Macao Special Administrative Region",2018,1195.0
Mexico,2018,75082.0
Malta,2018,1032.0
Myanmar,2018,4296.0
Montenegro,2018,6.0
Mongolia,2018,5372.0
Norway,2018,22532.0
New Zealand,2018,3045.0
Oman,2018,729.0
Peru,2018,10307.0
Poland,2018,117430.0
Portugal,2018,23917.0
Paraguay,2018,1015.0
State of Palestine,2018,681.0
Romania,2018,10497.0
Russian Federation,2018,207862.0
Singapore,2018,9193.0
El Salvador,2018,3240.0
Serbia,2018,1966.0
Slovakia,2018,2633.0
Slovenia,2018,3907.0
Sweden,2018,301210.0
Syrian Arab Republic,2018,704.0
Trinidad and Tobago,2018,545.0
Ukraine,2018,31711.0
Uruguay,2018,6369.0
United States of America,2018,120000.0
Saint Vincent and the Grenadines,2018,0.0
Kosovo under UNSCR 1244,2018,628.0
Albania,2019,874.0
Antigua and Barbuda,2019,15.0
Australia,2019,11976.0
Austria,2019,49627.0
Azerbaijan,2019,2112.0
Belgium,2019,81271.0
Bulgaria,2019,2103.0
Bahamas,2019,590.0
Bolivia (Plurinational State of),2019,2.0
Barbados,2019,175.0
Botswana,2019,122.0
Canada,2019,166717.0
Switzerland,2019,19101.0
Chile,2019,131745.0
Colombia,2019,72826.0
Costa Rica,2019,13103.0
Cyprus,2019,221.0
Czechia,2019,9179.0
Germany,2019,832966.0
Dominica,2019,59.0
Denmark,2019,47627.0
Dominican Republic,2019,5304.0
Ecuador,2019,29546.0
Spain,2019,327616.0
Estonia,2019,1813.0
Finland,2019,40294.0
France,2019,205673.0
United Kingdom (England and Wales),2019,774536.0
United Kingdom (Scotland),2019,11939.0
Greece,2019,3208.0
Guatemala,2019,113.0
Guyana,2019,72.0
Honduras,2019,456.0
Croatia,2019,3298.0
Hungary,2019,16936.0
Ireland,2019,5635.0
Iceland,2019,596.0
Israel,2019,19567.0
Italy,2019,278958.0
Jordan,2019,2771.0
Japan,2019,32207.0
Kenya,2019,709.0
Kyrgyzstan,2019,15389.0
Saint Kitts and Nevis,2019,0.0
Saint Lucia,2019,42.0
Liechtenstein,2019,179.0
Lithuania,2019,2981.0
Luxembourg,2019,744.0
Latvia,2019,1580.0
"China, Macao Special Administrative Region",2019,1525.0
