Iso3_code,Country,Region,Category,Sex,Year,VALUE
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2016,1057
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2017,0
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2018,3749
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2019,313
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2020,23164
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2021,485
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2022,41
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2023,2959
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2015,6502
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2016,5246
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2017,33
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2018,889
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2019,1144
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2020,3667
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2021,2007
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2022,203
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2023,36
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2015,0
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2016,6012
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2017,2
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2018,1277
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2019,905
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2020,1165
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2021,1318
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2022,21303
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2023,358
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2015,92
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2016,2
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2017,41
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2018,4
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2019,761
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2020,5
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2021,287
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2022,7243
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2023,579
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2020,531
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2021,14260
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2022,5
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2023,80
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2015,111
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2016,6905
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2017,46
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2018,22
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2019,551
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2020,36
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2021,7092
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2022,152
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2023,51
ALB,Albania,Europe,Corruption,Total,2015,1401
ALB,Albania,Europe,Corruption,Total,2016,32924
ALB,Albania,Europe,Corruption,Total,2017,3074
ALB,Albania,Europe,Corruption,Total,2018,46
ALB,Albania,Europe,Corruption,Total,2019,1674
ALB,Albania,Europe,Corruption,Total,2020,91
ALB,Albania,Europe,Corruption,Total,2021,1348
ALB,Albania,Europe,Corruption,Total,2022,105
ALB,Albania,Europe,Corruption,Total,2023,1159
ALB,Albania,Europe,Corruption: Bribery,Total,2015,21037
ALB,Albania,Europe,Corruption: Bribery,Total,2016,26
ALB,Albania,Europe,Corruption: Bribery,Total,2017,194
ALB,Albania,Europe,Corruption: Bribery,Total,2018,15900
ALB,Albania,Europe,Corruption: Bribery,Total,2019,260
ALB,Albania,Europe,Corruption: Bribery,Total,2020,1154
ALB,Albania,Europe,Corruption: Bribery,Total,2021,0
ALB,Albania,Europe,Corruption: Bribery,Total,2022,634
ALB,Albania,Europe,Corruption: Bribery,Total,2023,3209
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2015,195
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2016,4596
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2017,233
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2018,306
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2019,383
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2020,669
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2021,1
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2022,4
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2023,3389
ALB,Albania,Europe,Smuggling of migrants,Total,2016,385
ALB,Albania,Europe,Smuggling of migrants,Total,2017,15167
ALB,Albania,Europe,Smuggling of migrants,Total,2018,2825
ALB,Albania,Europe,Smuggling of migrants,Total,2019,31
ALB,Albania,Europe,Smuggling of migrants,Total,2020,2723
ALB,Albania,Europe,Smuggling of migrants,Total,2021,3850
ALB,Albania,Europe,Smuggling of migrants,Total,2022,3717
ALB,Albania,Europe,Smuggling of migrants,Total,2023,828
ALB,Albania,Europe,Burglary,Total,2005,1127
ALB,Albania,Europe,Burglary,Total,2006,291
ALB,Albania,Europe,Burglary,Total,2007,3565
ALB,Albania,Europe,Burglary,Total,2008,1966
ALB,Albania,Europe,Burglary,Total,2009,188
ALB,Albania,Europe,Burglary,Total,2010,902
ALB,Albania,Europe,Burglary,Total,2011,0
ALB,Albania,Europe,Burglary,Total,2012,5905
ALB,Albania,Europe,Burglary,Total,2013,2
ALB,Albania,Europe,Burglary,Total,2014,2221
ALB,Albania,Europe,Burglary,Total,2015,761
ALB,Albania,Europe,Burglary,Total,2021,1281
ALB,Albania,Europe,Burglary,Total,2022,505
ALB,Albania,Europe,Theft,Total,2005,4
ALB,Albania,Europe,Theft,Total,2006,3572
ALB,Albania,Europe,Theft,Total,2007,393
ALB,Albania,Europe,Theft,Total,2008,2452
ALB,Albania,Europe,Theft,Total,2009,75
ALB,Albania,Europe,Theft,Total,2010,2
ALB,Albania,Europe,Theft,Total,2011,6
ALB,Albania,Europe,Theft,Total,2012,749
ALB,Albania,Europe,Theft,Total,2013,1
ALB,Albania,Europe,Theft,Total,2014,185
ALB,Albania,Europe,Theft,Total,2015,19145
ALB,Albania,Europe,Theft,Total,2016,1163
ALB,Albania,Europe,Theft,Total,2017,541
ALB,Albania,Europe,Theft,Total,2018,19076
ALB,Albania,Europe,Theft,Total,2019,3
ALB,Albania,Europe,Theft,Total,2020,76
ALB,Albania,Europe,Theft,Total,2021,150
ALB,Albania,Europe,Theft,Total,2022,6740
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2005,82
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2006,26
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2007,283
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2008,568
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2009,48
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2010,7417
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2011,176
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2012,28
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2013,906
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2014,5435
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2015,29634
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2016,4379
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2017,1247
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2018,39
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2019,1500
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2020,167
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2021,971
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2022,21095
ALB,Albania,Europe,Fraud,Total,2015,556
ALB,Albania,Europe,Fraud,Total,2016,1170
ALB,Albania,Europe,Fraud,Total,2017,15967
ALB,Albania,Europe,Fraud,Total,2018,1033
ALB,Albania,Europe,Fraud,Total,2019,0
ALB,Albania,Europe,Fraud,Total,2020,1353
ALB,Albania,Europe,Fraud,Total,2021,3113
ALB,Albania,Europe,Fraud,Total,2022,356
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2015,4729
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2016,673
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2017,679
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2018,430
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2019,707
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2020,1
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2021,5
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2022,19
ALB,Albania,Europe,Money laundering,Total,2015,2786
ALB,Albania,Europe,Money laundering,Total,2016,187
ALB,Albania,Europe,Money laundering,Total,2017,11142
ALB,Albania,Europe,Money laundering,Total,2018,2729
ALB,Albania,Europe,Money laundering,Total,2019,17
ALB,Albania,Europe,Money laundering,Total,2020,2596
ALB,Albania,Europe,Money laundering,Total,2021,3970
ALB,Albania,Europe,Money laundering,Total,2022,115
ALB,Albania,Europe,Unlawful access to a computer system,Total,2015,29
ALB,Albania,Europe,Unlawful access to a computer system,Total,2016,4833
ALB,Albania,Europe,Unlawful access to a computer system,Total,2017,1124
ALB,Albania,Europe,Unlawful access to a computer system,Total,2018,1122
ALB,Albania,Europe,Unlawful access to a computer system,Total,2019,976
ALB,Albania,Europe,Unlawful access to a computer system,Total,2020,376
ALB,Albania,Europe,Unlawful access to a computer system,Total,2021,3846
ALB,Albania,Europe,Unlawful access to a computer system,Total,2022,2356
ALB,Albania,Europe,Unlawful access to a computer system,Total,2023,188
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2015,658
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2016,0
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2017,5316
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2018,0
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2019,387
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2020,515
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2021,2238
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2022,496
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2023,6
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2015,3367
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2016,220
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2017,163
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2018,119
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2019,1
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2020,1
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2021,14
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2022,555
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2023,3
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2015,242
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2016,0
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2017,21356
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2018,1025
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2019,23421
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2020,8
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2021,242
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2022,362
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2023,833
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2015,6630
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2016,36
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2017,31
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2018,348
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2019,781
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2020,66
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2021,10036
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2022,166
ALB,Albania,Europe,Acts involving the movement of dumping of waste,Total,2023,1568
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2020,785
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2021,4379
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2022,30495
ALB,Albania,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2023,7307
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2015,1360
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2016,55
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2017,1179
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2018,151
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2019,213
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2020,21031
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2021,12
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2022,7761
ALB,Albania,Europe,Acts that result in the depletion of degradation of natural resources,Total,2023,1936
ALB,Albania,Europe,Total,Female,2010,14765
ALB,Albania,Europe,Total,Male,2010,1330
ALB,Albania,Europe,Total,Total,2010,0
ALB,Albania,Europe,Total,Total,2016,71
AND,Andorra,Europe,Corruption,Total,2016,1280
AND,Andorra,Europe,Corruption,Total,2017,3158
AND,Andorra,Europe,Corruption,Total,2018,362
AND,Andorra,Europe,Corruption,Total,2019,4849
AND,Andorra,Europe,Corruption: Bribery,Total,2016,585
AND,Andorra,Europe,Corruption: Bribery,Total,2017,800
AND,Andorra,Europe,Corruption: Bribery,Total,2018,751
AND,Andorra,Europe,Corruption: Bribery,Total,2019,2
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2016,308
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2017,6
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2018,7
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2019,14
AND,Andorra,Europe,Smuggling of migrants,Total,2016,570
AND,Andorra,Europe,Smuggling of migrants,Total,2017,413
AND,Andorra,Europe,Smuggling of migrants,Total,2018,11142
AND,Andorra,Europe,Smuggling of migrants,Total,2019,3306
AND,Andorra,Europe,Burglary,Total,2007,15
AND,Andorra,Europe,Burglary,Total,2008,2339
AND,Andorra,Europe,Burglary,Total,2009,4147
AND,Andorra,Europe,Burglary,Total,2010,59
AND,Andorra,Europe,Burglary,Total,2011,5060
AND,Andorra,Europe,Burglary,Total,2012,1124
AND,Andorra,Europe,Burglary,Total,2013,1128
AND,Andorra,Europe,Burglary,Total,2014,974
AND,Andorra,Europe,Burglary,Total,2015,72
AND,Andorra,Europe,Theft,Total,2007,3960
AND,Andorra,Europe,Theft,Total,2008,2395
AND,Andorra,Europe,Theft,Total,2009,181
AND,Andorra,Europe,Theft,Total,2010,635
AND,Andorra,Europe,Theft,Total,2011,614
AND,Andorra,Europe,Theft,Total,2012,0
AND,Andorra,Europe,Theft,Total,2013,5761
AND,Andorra,Europe,Theft,Total,2014,22
AND,Andorra,Europe,Theft,Total,2015,256
AND,Andorra,Europe,Theft: of a motorized vehicle,Total,2014,785
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2016,1806
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2017,5
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2018,3469
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2019,32
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2016,162
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2017,130
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2018,0
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2019,11
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2016,495
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2017,1
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2018,354
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2019,1
AND,Andorra,Europe,Acts that result in the depletion of degradation of natural resources,Total,2016,951
AND,Andorra,Europe,Acts that result in the depletion of degradation of natural resources,Total,2017,26391
AND,Andorra,Europe,Acts that result in the depletion of degradation of natural resources,Total,2018,7
AND,Andorra,Europe,Acts that result in the depletion of degradation of natural resources,Total,2019,4
AND,Andorra,Europe,Corruption,Total,2016,172
AND,Andorra,Europe,Corruption,Total,2017,523
AND,Andorra,Europe,Corruption,Total,2018,1039
AND,Andorra,Europe,Corruption,Total,2019,6605
AND,Andorra,Europe,Corruption: Bribery,Total,2016,47
AND,Andorra,Europe,Corruption: Bribery,Total,2017,73
AND,Andorra,Europe,Corruption: Bribery,Total,2018,911
AND,Andorra,Europe,Corruption: Bribery,Total,2019,1041
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2016,65
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2017,6241
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2018,170
AND,Andorra,Europe,Corruption: Other acts of corruption,Total,2019,1316
AND,Andorra,Europe,Smuggling of migrants,Total,2016,4090
AND,Andorra,Europe,Smuggling of migrants,Total,2017,30991
AND,Andorra,Europe,Smuggling of migrants,Total,2018,8906
AND,Andorra,Europe,Smuggling of migrants,Total,2019,590
AND,Andorra,Europe,Burglary,Total,2007,73
AND,Andorra,Europe,Burglary,Total,2008,1053
AND,Andorra,Europe,Burglary,Total,2009,136
AND,Andorra,Europe,Burglary,Total,2010,219
AND,Andorra,Europe,Burglary,Total,2011,20617
AND,Andorra,Europe,Burglary,Total,2012,7411
AND,Andorra,Europe,Burglary,Total,2013,11
AND,Andorra,Europe,Burglary,Total,2014,1752
AND,Andorra,Europe,Burglary,Total,2015,418
AND,Andorra,Europe,Theft,Total,2007,13497
AND,Andorra,Europe,Theft,Total,2008,847
AND,Andorra,Europe,Theft,Total,2009,69
AND,Andorra,Europe,Theft,Total,2010,1114
AND,Andorra,Europe,Theft,Total,2011,2879
AND,Andorra,Europe,Theft,Total,2012,311
AND,Andorra,Europe,Theft,Total,2013,4353
AND,Andorra,Europe,Theft,Total,2014,486
AND,Andorra,Europe,Theft,Total,2015,651
AND,Andorra,Europe,Theft: of a motorized vehicle,Total,2014,903
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2016,1
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2017,311
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2018,0
AND,Andorra,Europe,Acts that cause environmental pollution or degradation,Total,2019,2
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2016,21
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2017,397
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2018,185
AND,Andorra,Europe,Acts involving the movement of dumping of waste,Total,2019,10134
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2016,3133
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2017,13
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2018,1689
AND,Andorra,Europe,Trade or possession of protected or prohibited species of faune and flora,Total,2019,4170
AND,Andorra,Europe,Acts that result in the depletion of degradation of natural resources,Total,2016,24
AND,Andorra,Europe,Acts that result in the depletion of degradation of natural resources,Total,2017,3873
AND,Andorra,Europe,Acts that result in the depletion of degradation of natural resources,Total,2018,1496
